"","ENTREZID","ENSEMBL","SYMBOL","annotation"
"1","339005",NA,"WHAMMP3","pp"
"2","81614","ENSG00000140157","NIPA2","pp"
"3","100616275","ENSG00000265673","MIR4508","pp"
"4","7681","ENSG00000179455","MKRN3","pp"
"5","105370731",NA,"PWRN4","pp"
"6","124903447",NA,"LOC124903447","pp"
"7","104472715",NA,"SNHG14","pp"
"8","6638","ENSG00000128739","SNRPN","pp"
"9","8926","ENSG00000273173","SNURF","pp"
"10","100033413","ENSG00000207063","SNORD116-1","pp"
"11","100033414","ENSG00000207001","SNORD116-2","pp"
"12","100033415","ENSG00000207014","SNORD116-3","pp"
"13","100033416","ENSG00000275529","SNORD116-4","pp"
"14","100033417","ENSG00000207191","SNORD116-5","pp"
"15","100033418","ENSG00000207442","SNORD116-6","pp"
"16","100033419","ENSG00000207133","SNORD116-7","pp"
"17","100033420","ENSG00000207093","SNORD116-8","pp"
"18","100033421","ENSG00000206727","SNORD116-9","pp"
"19","100033422","ENSG00000200661","SNORD116-10","pp"
"20","100033423","ENSG00000206609","SNORD116-11","pp"
"21","100033424","ENSG00000207197","SNORD116-12","pp"
"22","100033425","ENSG00000207137","SNORD116-13","pp"
"23","100033426","ENSG00000206621","SNORD116-14","pp"
"24","100033427","ENSG00000207174","SNORD116-15","pp"
"25","100033428","ENSG00000207263","SNORD116-16","pp"
"26","100033429","ENSG00000206656","SNORD116-17","pp"
"27","100033430","ENSG00000206688","SNORD116-18","pp"
"28","100033431","ENSG00000278715","SNORD116-20","pp"
"29","128966705",NA,"LOC128966705","pp"
"30","3653",NA,"IPW","pp"
"31","727708","ENSG00000207460","SNORD116-19","pp"
"32","7337","ENSG00000114062","UBE3A","pp"
"33","57194","ENSG00000206190","ATP10A","pp"
"34","105370738",NA,"ATP10A-DT","pp"
"35","2567","ENSG00000182256","GABRG3","pp"
"36","342184","ENSG00000248905","FMN1","pp"
"37","101928134","ENSG00000259446","RYR3-DT","pp"
"38","6263","ENSG00000198838","RYR3","pp"
"39","57099","ENSG00000169857","AVEN","pp"
"40","161779","ENSG00000182405","PGBD4","pp"
"41","56851","ENSG00000134153","EMC7","pp"
"42","79768","ENSG00000134152","KATNBL1","pp"
"43","51234","ENSG00000128463","EMC4","pp"
"44","9990","ENSG00000140199","SLC12A6","pp"
"45","440270","ENSG00000215252","GOLGA8B","pp"
"46","101928174","ENSG00000250007","GJD2-DT","pp"
"47","57369","ENSG00000159248","GJD2","pp"
"48","70","ENSG00000159251","ACTC1","pp"
"49","9716","ENSG00000021776","AQR","pp"
"50","54989","ENSG00000198146","ZNF770","pp"
"51","100507466",NA,"DPH6-DT","pp"
"52","89978","ENSG00000134146","DPH6","pp"
"53","84529","ENSG00000186073","CDIN1","pp"
"54","145845",NA,"LOC145845","pp"
"55","124903465",NA,"LOC124903465","pp"
"56","4212","ENSG00000134138","MEIS2","pp"
"57","107984773","ENSG00000236914","LINC01852","pp"
"58","161742","ENSG00000166068","SPRED1","pp"
"59","283742","ENSG00000171262","FAM98B","pp"
"60","10125","ENSG00000172575","RASGRP1","pp"
"61","105370775","ENSG00000175779","LOC105370775","pp"
"62","105370777",NA,"LOC105370777","pp"
"63","7057","ENSG00000137801","THBS1","pp"
"64","105370941","ENSG00000261136","LOC105370941","pp"
"65","161835","ENSG00000150667","FSIP1","pp"
"66","100505534","ENSG00000246863","GPR176-DT","pp"
"67","11245","ENSG00000166073","GPR176","pp"
"68","440275","ENSG00000128829","EIF2AK4","pp"
"69","100131089","ENSG00000248508","SRP14-DT","pp"
"70","6727","ENSG00000140319","SRP14","pp"
"71","105370787",NA,"LOC105370787","pp"
"72","90427","ENSG00000104081","BMF","pp"
"73","701","ENSG00000156970","BUB1B","pp"
"74","56924","ENSG00000137843","PAK6","pp"
"75","644809","ENSG00000176753","PAK6-AS1","pp"
"76","100131244","ENSG00000230778","ANKRD63","pp"
"77","5330","ENSG00000137841","PLCB2","pp"
"78","100505573","ENSG00000259330","INAFM2","pp"
"79","388115","ENSG00000188549","CCDC9B","pp"
"80","85455","ENSG00000140323","DISP2","pp"
"81","90417","ENSG00000128944","KNSTRN","pp"
"82","3712","ENSG00000128928","IVD","pp"
"83","22893","ENSG00000140320","BAHD1","pp"
"84","113189","ENSG00000169105","CHST14","pp"
"85","90416","ENSG00000128891","CCDC32","pp"
"86","27079","ENSG00000166133","RPUSD2","pp"
"87","57082","ENSG00000137812","KNL1","pp"
"88","100505648","ENSG00000245849","RAD51-AS1","pp"
"89","5888","ENSG00000051180","RAD51","pp"
"90","55177","ENSG00000137824","RMDN3","pp"
"91","2644","ENSG00000137880","GCHFR","pp"
"92","55192","ENSG00000104129","DNAJC17","pp"
"93","643338","ENSG00000188277","C15orf62","pp"
"94","84936","ENSG00000166140","ZFYVE19","pp"
"95","102724362","ENSG00000261183","SPINT1-AS1","pp"
"96","6692","ENSG00000166145","SPINT1","pp"
"97","171177","ENSG00000104140","RHOV","pp"
"98","57617","ENSG00000104142","VPS18","pp"
"99","105370943",NA,"LOC105370943","pp"
"100","54567","ENSG00000128917","DLL4","pp"
"101","79094","ENSG00000128965","CHAC1","pp"
"102","54617","ENSG00000128908","INO80","pp"
"103","11261","ENSG00000187446","CHP1","pp"
"104","161829","ENSG00000178997","EXD1","pp"
"105","51203","ENSG00000137804","NUSAP1","pp"
"106","729082","ENSG00000247556","OIP5-AS1","pp"
"107","11339","ENSG00000104147","OIP5","pp"
"108","51103","ENSG00000137806","NDUFAF1","pp"
"109","23168","ENSG00000137815","RTF1","pp"
"110","3706","ENSG00000137825","ITPKA","pp"
"111","4058","ENSG00000062524","LTK","pp"
"112","26015","ENSG00000103932","RPAP1","pp"
"113","7301","ENSG00000092445","TYRO3","pp"
"114","105370791","ENSG00000260926","LOC105370791","pp"
"115","23269","ENSG00000174197","MGA","pp"
"116","23005","ENSG00000137802","MAPKBP1","pp"
"117","100137047","ENSG00000243789","JMJD7","pp"
"118","8681","ENSG00000168970","JMJD7-PLA2G4B","pp"
"119","101928388","ENSG00000246740","PLA2G4E-AS1","pp"
"120","30844","ENSG00000103966","EHD4","pp"
"121","105370795",NA,"VPS39-DT","pp"
"122","23339","ENSG00000166887","VPS39","pp"
"123","2595","ENSG00000214013","GANC","pp"
"124","25963","ENSG00000103978","TMEM87A","pp"
"125","64397","ENSG00000103994","ZNF106","pp"
"126","8773","ENSG00000092531","SNAP23","pp"
"127","255252","ENSG00000180979","LRRC57","pp"
"128","55142","ENSG00000137814","HAUS2","pp"
"129","57519","ENSG00000159433","STARD9","pp"
"130","146059","ENSG00000140326","CDAN1","pp"
"131","146057","ENSG00000128881","TTBK2","pp"
"132","197131","ENSG00000159459","UBR1","pp"
"133","80021","ENSG00000137842","TMEM62","pp"
"134","124903478",NA,"LOC124903478","pp"
"135","23582","ENSG00000166946","CCNDBP1","pp"
"136","161823","ENSG00000168803","ADAL","pp"
"137","9836","ENSG00000168806","LCMT2","pp"
"138","146050","ENSG00000140265","ZSCAN29","pp"
"139","27229","ENSG00000137822","TUBGCP4","pp"
"140","7158","ENSG00000067369","TP53BP1","pp"
"141","4130","ENSG00000166963","MAP1A","pp"
"142","2923","ENSG00000167004","PDIA3","pp"
"143","440278","ENSG00000291053","CATSPER2P1","pp"
"144","10169","ENSG00000140264","SERF2","pp"
"145","80237","ENSG00000128886","ELL3","pp"
"146","100302254","ENSG00000221792","MIR1282","pp"
"147","100529067",NA,"SERF2-C15ORF63","pp"
"148","25764","ENSG00000242028","HYPK","pp"
"149","619189","ENSG00000184716","SERINC4","pp"
"150","4236","ENSG00000140259","MFAP1","pp"
"151","79968","ENSG00000092470","WDR76","pp"
"152","84978","ENSG00000171877","FRMD5","pp"
"153","113201","ENSG00000166734","GOLM2","pp"
"154","51496","ENSG00000137770","CTDSPL2","pp"
"155","645212","ENSG00000179523","EIF3J-DT","pp"
"156","8669","ENSG00000104131","EIF3J","pp"
"157","197135","ENSG00000229474","PATL2","pp"
"159","80208","ENSG00000104133","SPG11","pp"
"160","6652","ENSG00000140263","SORD","pp"
"161","405753","ENSG00000140274","DUOXA2","pp"
"162","50506","ENSG00000140279","DUOX2","pp"
"163","53905","ENSG00000137857","DUOX1","pp"
"164","90527","ENSG00000140254","DUOXA1","pp"
"165","90525","ENSG00000138606","SHF","pp"
"166","101928414","ENSG00000259520","SLC28A2-AS1","pp"
"167","2628","ENSG00000171766","GATM","pp"
"168","79029","ENSG00000171763","AFG2B","pp"
"169","100126311","ENSG00000284386","MIR147B","pp"
"170","84419","ENSG00000166920","C15orf48","pp"
"171","105376714",NA,"SLC30A4-AS1","pp"
"172","7782","ENSG00000104154","SLC30A4","pp"
"173","26258","ENSG00000104164","BLOC1S6","pp"
"174","58472","ENSG00000137767","SQOR","pp"
"175","80031","ENSG00000137872","SEMA6D","pp"
"176","399697","ENSG00000233932","CTXN2","pp"
"177","50804","ENSG00000104177","MYEF2","pp"
"178","6557","ENSG00000074803","SLC12A1","pp"
"179","107984755",NA,NA,"pp"
"180","1854","ENSG00000128951","DUT","pp"
"181","105370809","ENSG00000259705","FBN1-DT","pp"
"182","2200","ENSG00000166147","FBN1","pp"
"183","124903487",NA,"LOC124903487","pp"
"184","22995","ENSG00000103995","CEP152","pp"
"185","23741","ENSG00000255302","EID1","pp"
"186","399694","ENSG00000185634","SHC4","pp"
"187","9728","ENSG00000138593","SECISBP2L","pp"
"188","100306975",NA,"NDUFAF4P1","pp"
"189","2585","ENSG00000156958","GALK2","pp"
"190","9318","ENSG00000166200","COPS2","pp"
"191","100616332","ENSG00000264210","MIR4716","pp"
"192","196951","ENSG00000166262","FAM227B","pp"
"193","56986","ENSG00000104047","DTWD1","pp"
"194","79895","ENSG00000104043","ATP8B4","pp"
"195","11001","ENSG00000140284","SLC27A2","pp"
"196","100129387",NA,"GABPB1-AS1","pp"
"197","100616396","ENSG00000284284","MIR4712","pp"
"198","2553","ENSG00000104064","GABPB1","pp"
"199","55056","ENSG00000285410","GABPB1-IT1","pp"
"200","9101","ENSG00000138592","USP8","pp"
"201","128092252","ENSG00000288645","LOC128092252","pp"
"202","54822","ENSG00000092439","TRPM7","pp"
"203","84888","ENSG00000138600","SPPL2A","pp"
"204","124903490",NA,"LOC124903490","pp"
"205","23431","ENSG00000081014","AP4E1","pp"
"206","388121","ENSG00000183578","TNFAIP8L3","pp"
"207","1588","ENSG00000137869","CYP19A1","pp"
"208","342035","ENSG00000186417","GLDN","pp"
"209","23312","ENSG00000104093","DMXL2","pp"
"210","29106","ENSG00000104112","SCG3","pp"
"211","256586","ENSG00000140280","LYSMD2","pp"
"212","29767","ENSG00000128872","TMOD2","pp"
"213","29766","ENSG00000138594","TMOD3","pp"
"214","123169","ENSG00000166477","LEO1","pp"
"215","5597","ENSG00000069956","MAPK6","pp"
"216","112543478","ENSG00000259438","MAPK6-DT","pp"
"217","112268150",NA,"LOC112268150","pp"
"218","100129973",NA,"CERNA1","pp"
"219","10681","ENSG00000069966","GNB5","pp"
"220","55930","ENSG00000128833","MYO5C","pp"
"221","4644","ENSG00000197535","MYO5A","pp"
"222","10776","ENSG00000128989","ARPP19","pp"
"223","56204","ENSG00000047346","ATOSA","pp"
"224","105370821",NA,"LOC105370821","pp"
"225","101928499","ENSG00000259203","LOC101928499","pp"
"226","3175","ENSG00000169856","ONECUT1","pp"
"227","51187","ENSG00000137876","RSL24D1","pp"
"228","5873","ENSG00000069974","RAB27A","pp"
"229","101928527","ENSG00000225973","PIGBOS1","pp"
"230","9488","ENSG00000069943","PIGB","pp"
"231","145788","ENSG00000261652","PIERCE2","pp"
"232","9236","ENSG00000260916","CCPG1","pp"
"233","100533483","ENSG00000261771","DNAAF4-CCPG1","pp"
"234","161582","ENSG00000256061","DNAAF4","pp"
"235","124903497",NA,"LOC124903497","pp"
"236","26108","ENSG00000171016","PYGO1","pp"
"237","283659","ENSG00000166450","PRTG","pp"
"238","4734","ENSG00000069869","NEDD4","pp"
"239","374618","ENSG00000151575","TEX9","pp"
"240","64864","ENSG00000181827","RFX7","pp"
"241","55329","ENSG00000138587","MNS1","pp"
"242","54816","ENSG00000137871","ZNF280D","pp"
"243","105370833","ENSG00000276524","LINC03065","pp"
"244","145783","ENSG00000285331","TCF12-DT","pp"
"245","6938","ENSG00000140262","TCF12","pp"
"246","283663","ENSG00000247982","LINC00926","pp"
"247","84952","ENSG00000128849","CGNL1","pp"
"248","100820829","ENSG00000263155","MYZAP","pp"
"249","145781","ENSG00000137878","GCOM1","pp"
"250","105370834",NA,"LOC105370834","pp"
"251","81488","ENSG00000255529","POLR2M","pp"
"252","283665",NA,"ALDH1A2-AS1","pp"
"253","8854","ENSG00000128918","ALDH1A2","pp"
"254","102","ENSG00000137845","ADAM10","pp"
"255","101928725","ENSG00000245975","MINDY2-DT","pp"
"256","54629","ENSG00000128923","MINDY2","pp"
"257","79811","ENSG00000137776","SLTM","pp"
"258","54778","ENSG00000157450","RNF111","pp"
"259","9133","ENSG00000157456","CCNB2","pp"
"260","145773","ENSG00000157470","FAM81A","pp"
"261","4643","ENSG00000157483","MYO1E","pp"
"262","2958","ENSG00000140307","GTF2A2","pp"
"263","663","ENSG00000140299","BNIP2","pp"
"264","27023","ENSG00000171956","FOXB1","pp"
"265","302","ENSG00000182718","ANXA2","pp"
"266","101928784","ENSG00000245534","RORA-AS1","pp"
"267","79664","ENSG00000128915","ICE2","pp"
"268","6095","ENSG00000069667","RORA","pp"
"269","107984805",NA,"LOC107984805","pp"
"270","124903501",NA,"LOC124903501","pp"
"271","101928907",NA,"VPS13C-DT","pp"
"272","54832","ENSG00000129003","VPS13C","pp"
"273","145741","ENSG00000198535","C2CD4A","pp"
"274","388125","ENSG00000205502","C2CD4B","pp"
"275","255180",NA,"GOLGA2P11","pp"
"276","83660","ENSG00000171914","TLN2","pp"
"277","105370854",NA,"LOC105370854","pp"
"278","111064646",NA,"TPM1-AS","pp"
"279","7168","ENSG00000140416","TPM1","pp"
"280","114294","ENSG00000103642","LACTB","pp"
"281","51065","ENSG00000185088","RPS27L","pp"
"282","51762","ENSG00000166128","RAB8B","pp"
"283","83464","ENSG00000138613","APH1B","pp"
"284","771","ENSG00000074410","CA12","pp"
"285","9960","ENSG00000140455","USP3","pp"
"286","100130855","ENSG00000259248","USP3-AS1","pp"
"287","283807","ENSG00000197361","FBXL22","pp"
"288","8925","ENSG00000103657","HERC1","pp"
"289","23604","ENSG00000035664","DAPK2","pp"
"290","6642","ENSG00000028528","SNX1","pp"
"291","84191","ENSG00000166797","CIAO2A","pp"
"292","5479","ENSG00000166794","PPIB","pp"
"293","79856","ENSG00000157734","SNX22","pp"
"294","53944","ENSG00000169118","CSNK1G1","pp"
"295","9325","ENSG00000103671","TRIP4","pp"
"296","9768","ENSG00000166803","PCLAF","pp"
"297","23060","ENSG00000180357","ZNF609","pp"
"298","124903507",NA,"LOC124903507","pp"
"299","4947","ENSG00000180304","OAZ2","pp"
"300","348093","ENSG00000166831","RBPMS2","pp"
"301","80119","ENSG00000140451","PIF1","pp"
"302","80301","ENSG00000241839","PLEKHO2","pp"
"303","348094","ENSG00000166839","ANKDD1A","pp"
"304","51324","ENSG00000090487","SPG21","pp"
"305","123263","ENSG00000103707","MTFMT","pp"
"306","123264","ENSG00000186198","SLC51B","pp"
"307","51285","ENSG00000103710","RASL12","pp"
"308","10081","ENSG00000090470","PDCD7","pp"
"309","10845","ENSG00000166855","CLPX","pp"
"310","109617003","ENSG00000206903","SNORA24B","pp"
"311","54956","ENSG00000138617","PARP16","pp"
"312","26831","ENSG00000199568","RNU5A-1","pp"
"313","26832","ENSG00000200156","RNU5B-1","pp"
"314","9543","ENSG00000174498","IGDCC3","pp"
"315","57722","ENSG00000103742","IGDCC4","pp"
"316","54878","ENSG00000074603","DPP8","pp"
"317","51495","ENSG00000074696","HACD3","pp"
"318","81556","ENSG00000138614","INTS14","pp"
"319","9187","ENSG00000074621","SLC24A1","pp"
"320","10260","ENSG00000174485","DENND4A","pp"
"321","105370866",NA,"LOC105370866","pp"
"322","8766","ENSG00000103769","RAB11A","pp"
"323","115752","ENSG00000166938","DIS3L","pp"
