chr.x	start.x	end.x	chr.y	start.y	end.y	loopID	mango.P
184977	chr15	17435126	17441610	chr15	18230127	18231848	chr15:17435126-17441610_chr15:18230127-18231848	1.51712979956642e-08
184978	chr15	17457775	17460493	chr15	18230127	18231848	chr15:17457775-17460493_chr15:18230127-18231848	1.05854274332629e-05
184985	chr15	18465420	18523463	chr15	19167038	19170276	chr15:18465420-18523463_chr15:19167038-19170276	1.44545284047615e-05
184988	chr15	18754402	18770002	chr15	19070204	19108832	chr15:18754402-18770002_chr15:19070204-19108832	6.80840846740693e-05
185091	chr15	22491925	22497810	chr15	22836947	22842739	chr15:22491925-22497810_chr15:22836947-22842739	0
185092	chr15	22491925	22497810	chr15	23560790	23572771	chr15:22491925-22497810_chr15:23560790-23572771	6.24251850211976e-09
185094	chr15	22662607	22668409	chr15	22783892	22796574	chr15:22662607-22668409_chr15:22783892-22796574	0
185095	chr15	22662607	22668409	chr15	22836947	22842739	chr15:22662607-22668409_chr15:22836947-22842739	0
185100	chr15	22783892	22796574	chr15	23560790	23572771	chr15:22783892-22796574_chr15:23560790-23572771	0
185101	chr15	22836947	22842739	chr15	22977297	22982277	chr15:22836947-22842739_chr15:22977297-22982277	1.64090963039598e-13
185103	chr15	22836947	22842739	chr15	23560790	23572771	chr15:22836947-22842739_chr15:23560790-23572771	0
185116	chr15	23642154	23650027	chr15	23911557	23913597	chr15:23642154-23650027_chr15:23911557-23913597	2.2489028417283e-09
185123	chr15	23642154	23650027	chr15	25480347	25483822	chr15:23642154-23650027_chr15:25480347-25483822	2.00902957925297e-06
185140	chr15	24953757	24958824	chr15	25669097	25672047	chr15:24953757-24958824_chr15:25669097-25672047	2.1262219429552e-08
185149	chr15	25044024	25085981	chr15	25859354	25865061	chr15:25044024-25085981_chr15:25859354-25865061	1.59673358979262e-08
185152	chr15	25415051	25417907	chr15	25682351	25686869	chr15:25415051-25417907_chr15:25682351-25686869	0.000122608589079976
185153	chr15	25419704	25423291	chr15	25682351	25686869	chr15:25419704-25423291_chr15:25682351-25686869	0.000125741429909842
185154	chr15	25432124	25440977	chr15	25669097	25672047	chr15:25432124-25440977_chr15:25669097-25672047	0.00016605223869337
185199	chr15	27327581	27329908	chr15	27587156	27590724	chr15:27327581-27329908_chr15:27587156-27590724	0.000121590488330825
185200	chr15	33193344	33196391	chr15	33199594	33203518	chr15:33193344-33196391_chr15:33199594-33203518	2.50644681676349e-07
185206	chr15	33308887	33313094	chr15	34098771	34104136	chr15:33308887-33313094_chr15:34098771-34104136	1.0557393106847e-05
185210	chr15	34037019	34040601	chr15	34098771	34104136	chr15:34037019-34040601_chr15:34098771-34104136	7.21473223164182e-07
185211	chr15	34037019	34040601	chr15	34206781	34211477	chr15:34037019-34040601_chr15:34206781-34211477	0
185212	chr15	34037019	34040601	chr15	34222941	34227571	chr15:34037019-34040601_chr15:34222941-34227571	0
185213	chr15	34037019	34040601	chr15	34334321	34339319	chr15:34037019-34040601_chr15:34334321-34339319	3.58446605730478e-12
185214	chr15	34037019	34040601	chr15	34340172	34344132	chr15:34037019-34040601_chr15:34340172-34344132	6.88338275267597e-15
185215	chr15	34037019	34040601	chr15	34363948	34369467	chr15:34037019-34040601_chr15:34363948-34369467	0
185217	chr15	34037019	34040601	chr15	34512205	34516531	chr15:34037019-34040601_chr15:34512205-34516531	0
185218	chr15	34037019	34040601	chr15	34579527	34590381	chr15:34037019-34040601_chr15:34579527-34590381	0
185228	chr15	34098771	34104136	chr15	34206781	34211477	chr15:34098771-34104136_chr15:34206781-34211477	0
185230	chr15	34098771	34104136	chr15	34317395	34319709	chr15:34098771-34104136_chr15:34317395-34319709	1.40766302547668e-06
185231	chr15	34098771	34104136	chr15	34334321	34339319	chr15:34098771-34104136_chr15:34334321-34339319	0
185232	chr15	34098771	34104136	chr15	34340172	34344132	chr15:34098771-34104136_chr15:34340172-34344132	0
185233	chr15	34098771	34104136	chr15	34363948	34369467	chr15:34098771-34104136_chr15:34363948-34369467	0
185234	chr15	34098771	34104136	chr15	34512205	34516531	chr15:34098771-34104136_chr15:34512205-34516531	0
185235	chr15	34098771	34104136	chr15	34579527	34590381	chr15:34098771-34104136_chr15:34579527-34590381	0
185239	chr15	34153674	34156972	chr15	34363948	34369467	chr15:34153674-34156972_chr15:34363948-34369467	1.63328035496235e-06
185244	chr15	34206781	34211477	chr15	34334321	34339319	chr15:34206781-34211477_chr15:34334321-34339319	0
185245	chr15	34206781	34211477	chr15	34340172	34344132	chr15:34206781-34211477_chr15:34340172-34344132	0
