chr.x	start.x	end.x	chr.y	start.y	end.y	loopID	mango.P
184974	chr15	17050582	17070200	chr15	17075230	17086156	chr15:17050582-17070200_chr15:17075230-17086156	0.000609643119129255
184996	chr15	19794133	19797871	chr15	20183050	20208457	chr15:19794133-19797871_chr15:20183050-20208457	4.39043127828942e-05
184997	chr15	19853141	19861014	chr15	20406134	20423728	chr15:19853141-19861014_chr15:20406134-20423728	2.1465955167943e-05
184998	chr15	19931700	19938878	chr15	20319543	20359651	chr15:19931700-19938878_chr15:20319543-20359651	4.10253089901946e-05
184999	chr15	19971427	19974168	chr15	20319543	20359651	chr15:19971427-19974168_chr15:20319543-20359651	5.21521525642665e-05
185001	chr15	20027835	20074732	chr15	20183050	20208457	chr15:20027835-20074732_chr15:20183050-20208457	1.13451470440395e-11
185002	chr15	20027835	20074732	chr15	20210437	20226923	chr15:20027835-20074732_chr15:20210437-20226923	0.000507364212645078
185004	chr15	20027835	20074732	chr15	20319543	20359651	chr15:20027835-20074732_chr15:20319543-20359651	0
185005	chr15	20027835	20074732	chr15	20370330	20377844	chr15:20027835-20074732_chr15:20370330-20377844	6.90771354763253e-05
185006	chr15	20027835	20074732	chr15	20397854	20401885	chr15:20027835-20074732_chr15:20397854-20401885	5.82313756929409e-05
185007	chr15	20027835	20074732	chr15	20406134	20423728	chr15:20027835-20074732_chr15:20406134-20423728	4.56339188659172e-10
185008	chr15	20027835	20074732	chr15	20655896	20660722	chr15:20027835-20074732_chr15:20655896-20660722	1.72754218072946e-05
185009	chr15	20027835	20074732	chr15	21037939	21054894	chr15:20027835-20074732_chr15:21037939-21054894	0
185010	chr15	20027835	20074732	chr15	21056719	21081395	chr15:20027835-20074732_chr15:21056719-21081395	0
185011	chr15	20085018	20093907	chr15	20210437	20226923	chr15:20085018-20093907_chr15:20210437-20226923	3.97147494926031e-05
185012	chr15	20097967	20109268	chr15	20319543	20359651	chr15:20097967-20109268_chr15:20319543-20359651	0.000159637877681806
185013	chr15	20109878	20129837	chr15	20210437	20226923	chr15:20109878-20129837_chr15:20210437-20226923	0.00558704368121576
185015	chr15	20109878	20129837	chr15	20319543	20359651	chr15:20109878-20129837_chr15:20319543-20359651	0
185016	chr15	20109878	20129837	chr15	21117781	21126630	chr15:20109878-20129837_chr15:21117781-21126630	7.52789008906518e-09
185020	chr15	20183050	20208457	chr15	20210437	20226923	chr15:20183050-20208457_chr15:20210437-20226923	0
185022	chr15	20183050	20208457	chr15	20319543	20359651	chr15:20183050-20208457_chr15:20319543-20359651	0
185023	chr15	20183050	20208457	chr15	20370330	20377844	chr15:20183050-20208457_chr15:20370330-20377844	1.51588519514689e-10
185024	chr15	20183050	20208457	chr15	20397854	20401885	chr15:20183050-20208457_chr15:20397854-20401885	0.00025110176526999
185025	chr15	20183050	20208457	chr15	20406134	20423728	chr15:20183050-20208457_chr15:20406134-20423728	6.62534993534081e-09
185026	chr15	20183050	20208457	chr15	21056719	21081395	chr15:20183050-20208457_chr15:21056719-21081395	8.32887155077788e-06
185027	chr15	20183050	20208457	chr15	21188891	21193165	chr15:20183050-20208457_chr15:21188891-21193165	5.10702591327572e-15
185029	chr15	20210437	20226923	chr15	20319543	20359651	chr15:20210437-20226923_chr15:20319543-20359651	3.40589334513197e-10
185030	chr15	20210437	20226923	chr15	20370330	20377844	chr15:20210437-20226923_chr15:20370330-20377844	8.78190979358706e-06
185031	chr15	20210437	20226923	chr15	20397854	20401885	chr15:20210437-20226923_chr15:20397854-20401885	0.000379410646653255
185032	chr15	20210437	20226923	chr15	20406134	20423728	chr15:20210437-20226923_chr15:20406134-20423728	2.2604057055009e-06
185033	chr15	20210437	20226923	chr15	21056719	21081395	chr15:20210437-20226923_chr15:21056719-21081395	1.22677245029124e-08
185034	chr15	20227810	20230333	chr15	20319543	20359651	chr15:20227810-20230333_chr15:20319543-20359651	2.35419962857364e-07
185035	chr15	20227810	20230333	chr15	20406134	20423728	chr15:20227810-20230333_chr15:20406134-20423728	0.000353325776824676
185052	chr15	20319543	20359651	chr15	20370330	20377844	chr15:20319543-20359651_chr15:20370330-20377844	1.09351405708225e-08
185053	chr15	20319543	20359651	chr15	20406134	20423728	chr15:20319543-20359651_chr15:20406134-20423728	5.39575012337146e-06
185054	chr15	20319543	20359651	chr15	21037939	21054894	chr15:20319543-20359651_chr15:21037939-21054894	2.12767827800775e-08
185055	chr15	20319543	20359651	chr15	21056719	21081395	chr15:20319543-20359651_chr15:21056719-21081395	2.30926389122033e-14
185056	chr15	20319543	20359651	chr15	21117781	21126630	chr15:20319543-20359651_chr15:21117781-21126630	1.77226011643938e-11
185057	chr15	20319543	20359651	chr15	21281587	21286575	chr15:20319543-20359651_chr15:21281587-21286575	7.1181647973706e-06
185058	chr15	20319543	20359651	chr15	21530734	21539242	chr15:20319543-20359651_chr15:21530734-21539242	4.51730050288202e-06
185062	chr15	20319543	20359651	chr15	22282590	22292488	chr15:20319543-20359651_chr15:22282590-22292488	1.72870054748753e-06
185063	chr15	20319543	20359651	chr15	22298989	22304169	chr15:20319543-20359651_chr15:22298989-22304169	1.67943616469213e-06
185064	chr15	20370330	20377844	chr15	20406134	20423728	chr15:20370330-20377844_chr15:20406134-20423728	0.000571506515341103
185065	chr15	20370330	20377844	chr15	21037939	21054894	chr15:20370330-20377844_chr15:21037939-21054894	2.47971519984347e-08
185066	chr15	20370330	20377844	chr15	22298989	22304169	chr15:20370330-20377844_chr15:22298989-22304169	1.74467999458638e-06
185067	chr15	20383829	20390783	chr15	22282590	22292488	chr15:20383829-20390783_chr15:22282590-22292488	1.8257025893309e-06
185068	chr15	20397854	20401885	chr15	22298989	22304169	chr15:20397854-20401885_chr15:22298989-22304169	1.16270526540063e-09
185069	chr15	20406134	20423728	chr15	20641996	20655267	chr15:20406134-20423728_chr15:20641996-20655267	0.000172975369624129
185071	chr15	20406134	20423728	chr15	21640095	21642575	chr15:20406134-20423728_chr15:21640095-21642575	4.29682158942235e-06
