chr.x	start.x	end.x	chr.y	start.y	end.y	hAstro	U3028	loopWidth	mango.FDR	mango.P	loopID	total_counts
184974	chr15	17050582	17070200	chr15	17075230	17086156	3	0	20302	0.000992678578220939	0.000609643119129255	chr15:17050582-17070200_chr15:17075230-17086156	3
184975	chr15	17050582	17070200	chr15	17435126	17441610	0	0	377977	9.26393566995462e-05	4.83228736793961e-05	chr15:17050582-17070200_chr15:17435126-17441610	0
184976	chr15	17096047	17097538	chr15	17457775	17460493	0	0	362341	0.000100189602115981	5.26803922875629e-05	chr15:17096047-17097538_chr15:17457775-17460493	0
184977	chr15	17435126	17441610	chr15	18230127	18231848	0	2	792619	5.18083182261608e-08	1.51712979956642e-08	chr15:17435126-17441610_chr15:18230127-18231848	2
184978	chr15	17457775	17460493	chr15	18230127	18231848	0	2	771853	2.37874334566752e-05	1.05854274332629e-05	chr15:17457775-17460493_chr15:18230127-18231848	2
184979	chr15	17480098	17481625	chr15	18230127	18231848	0	0	750126	2.53126635098488e-05	1.13539450935507e-05	chr15:17480098-17481625_chr15:18230127-18231848	0
184980	chr15	18404630	18420472	chr15	19022725	19031249	0	0	614436	3.58632961290554e-05	1.68010327542545e-05	chr15:18404630-18420472_chr15:19022725-19031249	0
184981	chr15	18404630	18420472	chr15	19562562	19565027	0	0	1151243	0	0	chr15:18404630-18420472_chr15:19562562-19565027	0
184982	chr15	18404630	18420472	chr15	19775488	19791057	0	0	1370721	1.17400212121653e-08	3.14403925116835e-09	chr15:18404630-18420472_chr15:19775488-19791057	0
184983	chr15	18431914	18464307	chr15	19775488	19791057	0	0	1335162	9.35132149694244e-06	3.68567727604407e-06	chr15:18431914-18464307_chr15:19775488-19791057	0
184984	chr15	18465420	18523463	chr15	18864335	18881362	0	0	378407	9.28734495198677e-05	4.84545752548193e-05	chr15:18465420-18523463_chr15:18864335-18881362	0
184985	chr15	18465420	18523463	chr15	19167038	19170276	0	1	674215	3.13828796946739e-05	1.44545284047615e-05	chr15:18465420-18523463_chr15:19167038-19170276	1
184986	chr15	18558693	18567733	chr15	19674825	19686838	0	0	1117618	1.25741338667612e-05	5.1525404149988e-06	chr15:18558693-18567733_chr15:19674825-19686838	0
184987	chr15	18668131	18670176	chr15	19775488	19791057	0	0	1114119	1.29426180876242e-05	5.32288982213469e-06	chr15:18668131-18670176_chr15:19775488-19791057	0
184988	chr15	18754402	18770002	chr15	19070204	19108832	0	1	327316	0.00012656849139	6.80840846740693e-05	chr15:18754402-18770002_chr15:19070204-19108832	1
184989	chr15	18778731	18786719	chr15	19674825	19686838	0	0	898106	0	0	chr15:18778731-18786719_chr15:19674825-19686838	0
184990	chr15	18910270	18912224	chr15	19562562	19565027	0	0	652547	0	0	chr15:18910270-18912224_chr15:19562562-19565027	0
184991	chr15	18910270	18912224	chr15	19639502	19642131	0	0	729569	0	0	chr15:18910270-18912224_chr15:19639502-19642131	0
184992	chr15	18980211	19021615	chr15	19775488	19791057	0	0	782359	2.4885743210325e-05	1.11397833540972e-05	chr15:18980211-19021615_chr15:19775488-19791057	0
184993	chr15	19070204	19108832	chr15	19775488	19791057	0	0	693754	2.96879684136023e-05	1.35790901092392e-05	chr15:19070204-19108832_chr15:19775488-19791057	0
184994	chr15	19562562	19565027	chr15	19775488	19791057	0	0	219478	2.08866151220977e-15	3.33066907387547e-16	chr15:19562562-19565027_chr15:19775488-19791057	0
184995	chr15	19571246	19592562	chr15	19775488	19791057	0	0	201368	0.000458441149347903	0.000271265602214799	chr15:19571246-19592562_chr15:19775488-19791057	0
184996	chr15	19794133	19797871	chr15	20183050	20208457	2	0	399751	8.49361460030948e-05	4.39043127828942e-05	chr15:19794133-19797871_chr15:20183050-20208457	2
184997	chr15	19853141	19861014	chr15	20406134	20423728	2	0	557853	4.46268005372906e-05	2.1465955167943e-05	chr15:19853141-19861014_chr15:20406134-20423728	2
184998	chr15	19931700	19938878	chr15	20319543	20359651	2	0	404308	7.98736270878615e-05	4.10253089901946e-05	chr15:19931700-19938878_chr15:20319543-20359651	2
184999	chr15	19971427	19974168	chr15	20319543	20359651	2	0	366799	9.92824946048884e-05	5.21521525642665e-05	chr15:19971427-19974168_chr15:20319543-20359651	2
185000	chr15	20000618	20014563	chr15	20231054	20317657	0	0	266765	0.000211528014636326	0.000118826533845873	chr15:20000618-20014563_chr15:20231054-20317657	0
185001	chr15	20027835	20074732	chr15	20183050	20208457	2	0	144470	5.23307484255328e-11	1.13451470440395e-11	chr15:20027835-20074732_chr15:20183050-20208457	2
185002	chr15	20027835	20074732	chr15	20210437	20226923	2	0	167396	0.000832381129706651	0.000507364212645078	chr15:20027835-20074732_chr15:20210437-20226923	2
185003	chr15	20027835	20074732	chr15	20231054	20317657	0	0	223072	0	0	chr15:20027835-20074732_chr15:20231054-20317657	0
185004	chr15	20027835	20074732	chr15	20319543	20359651	4	0	288313	0	0	chr15:20027835-20074732_chr15:20319543-20359651	4
185005	chr15	20027835	20074732	chr15	20370330	20377844	2	0	322803	0.000128263998634966	6.90771354763253e-05	chr15:20027835-20074732_chr15:20370330-20377844	2
185006	chr15	20027835	20074732	chr15	20397854	20401885	2	0	348586	0.000109722337445302	5.82313756929409e-05	chr15:20027835-20074732_chr15:20397854-20401885	2
185007	chr15	20027835	20074732	chr15	20406134	20423728	4	0	363647	1.84920712899806e-09	4.56339188659172e-10	chr15:20027835-20074732_chr15:20406134-20423728	4
185008	chr15	20027835	20074732	chr15	20655896	20660722	1	0	607025	3.67613395440721e-05	1.72754218072946e-05	chr15:20027835-20074732_chr15:20655896-20660722	1
185009	chr15	20027835	20074732	chr15	21037939	21054894	12	0	995133	0	0	chr15:20027835-20074732_chr15:21037939-21054894	12
185010	chr15	20027835	20074732	chr15	21056719	21081395	10	0	1017773	0	0	chr15:20027835-20074732_chr15:21056719-21081395	10
185011	chr15	20085018	20093907	chr15	20210437	20226923	2	0	129217	7.75813394502139e-05	3.97147494926031e-05	chr15:20085018-20093907_chr15:20210437-20226923	2
185012	chr15	20097967	20109268	chr15	20319543	20359651	1	0	235979	0.000278475559016008	0.000159637877681806	chr15:20097967-20109268_chr15:20319543-20359651	1
185013	chr15	20109878	20129837	chr15	20210437	20226923	2	0	98822	0.00856256295112497	0.00558704368121576	chr15:20109878-20129837_chr15:20210437-20226923	2
185014	chr15	20109878	20129837	chr15	20231054	20317657	0	0	154498	0.00116170695417418	0.000717982732832301	chr15:20109878-20129837_chr15:20231054-20317657	0
185015	chr15	20109878	20129837	chr15	20319543	20359651	8	0	219739	0	0	chr15:20109878-20129837_chr15:20319543-20359651	8
185016	chr15	20109878	20129837	chr15	21117781	21126630	1	0	1002348	2.67459763392283e-08	7.52789008906518e-09	chr15:20109878-20129837_chr15:21117781-21126630	1
185017	chr15	20109878	20129837	chr15	21127233	21135259	0	0	1011388	1.48952850132925e-05	6.23757762441279e-06	chr15:20109878-20129837_chr15:21127233-21135259	0
185018	chr15	20138837	20145891	chr15	20231054	20317657	0	0	131991	0.00260298251982037	0.00165164761916259	chr15:20138837-20145891_chr15:20231054-20317657	0
185019	chr15	20162726	20177567	chr15	20231054	20317657	0	0	104209	0.00162760217522628	0.00101774330444226	chr15:20162726-20177567_chr15:20231054-20317657	0
185020	chr15	20183050	20208457	chr15	20210437	20226923	47	0	22926	0	0	chr15:20183050-20208457_chr15:20210437-20226923	47
185021	chr15	20183050	20208457	chr15	20231054	20317657	0	0	78602	9.61060853127729e-07	3.2887291667727e-07	chr15:20183050-20208457_chr15:20231054-20317657	0
185022	chr15	20183050	20208457	chr15	20319543	20359651	7	0	143843	0	0	chr15:20183050-20208457_chr15:20319543-20359651	7
