chr.x	start.x	end.x	chr.y	start.y	end.y	loopID	mango.P
185098	chr15	22783892	22796574	chr15	22836947	22842739	chr15:22783892-22796574_chr15:22836947-22842739	0
185108	chr15	23530907	23535835	chr15	25044024	25085981	chr15:23530907-23535835_chr15:25044024-25085981	2.24969443074485e-09
185109	chr15	23560790	23572771	chr15	23642154	23650027	chr15:23560790-23572771_chr15:23642154-23650027	1.38568471885758e-06
185135	chr15	24854175	24860816	chr15	24953757	24958824	chr15:24854175-24860816_chr15:24953757-24958824	0
185138	chr15	24953757	24958824	chr15	25044024	25085981	chr15:24953757-24958824_chr15:25044024-25085981	0
185147	chr15	25044024	25085981	chr15	25432124	25440977	chr15:25044024-25085981_chr15:25432124-25440977	0
185156	chr15	25432124	25440977	chr15	25847657	25853203	chr15:25432124-25440977_chr15:25847657-25853203	3.95639844756879e-05
185229	chr15	34098771	34104136	chr15	34222941	34227571	chr15:34098771-34104136_chr15:34222941-34227571	0
185243	chr15	34206781	34211477	chr15	34222941	34227571	chr15:34206781-34211477_chr15:34222941-34227571	0
185249	chr15	34206781	34211477	chr15	34579527	34590381	chr15:34206781-34211477_chr15:34579527-34590381	0
185254	chr15	34222941	34227571	chr15	34340172	34344132	chr15:34222941-34227571_chr15:34340172-34344132	0
185255	chr15	34222941	34227571	chr15	34363948	34369467	chr15:34222941-34227571_chr15:34363948-34369467	0
185256	chr15	34222941	34227571	chr15	34434533	34439658	chr15:34222941-34227571_chr15:34434533-34439658	0
185265	chr15	34334321	34339319	chr15	34340172	34344132	chr15:34334321-34339319_chr15:34340172-34344132	0
185266	chr15	34334321	34339319	chr15	34363948	34369467	chr15:34334321-34339319_chr15:34363948-34369467	0
185271	chr15	34340172	34344132	chr15	34363948	34369467	chr15:34340172-34344132_chr15:34363948-34369467	0
185274	chr15	34340172	34344132	chr15	34579527	34590381	chr15:34340172-34344132_chr15:34579527-34590381	0
185280	chr15	34363948	34369467	chr15	34579527	34590381	chr15:34363948-34369467_chr15:34579527-34590381	0
185285	chr15	34434533	34439658	chr15	34579527	34590381	chr15:34434533-34439658_chr15:34579527-34590381	0
185301	chr15	34965863	34971297	chr15	34984639	34990512	chr15:34965863-34971297_chr15:34984639-34990512	0
185348	chr15	36577527	36584123	chr15	37089416	37112431	chr15:36577527-36584123_chr15:37089416-37112431	0
185360	chr15	36879235	36890198	chr15	37089416	37112431	chr15:36879235-36890198_chr15:37089416-37112431	0
185393	chr15	38127977	38132992	chr15	38249980	38267783	chr15:38127977-38132992_chr15:38249980-38267783	0
185398	chr15	38140368	38146978	chr15	38249980	38267783	chr15:38140368-38146978_chr15:38249980-38267783	0
185400	chr15	38249980	38267783	chr15	38452784	38456305	chr15:38249980-38267783_chr15:38452784-38456305	0
185410	chr15	38452784	38456305	chr15	38562797	38566471	chr15:38452784-38456305_chr15:38562797-38566471	0
185445	chr15	39209043	39215762	chr15	39577869	39586698	chr15:39209043-39215762_chr15:39577869-39586698	0
185459	chr15	39577869	39586698	chr15	39917439	39922386	chr15:39577869-39586698_chr15:39917439-39922386	0
