"","seqnames1","start1","end1","node.class1","seqnames2","start2","end2","node.class2","counts","name","interaction.type"
"1","chr15",17435126,17441610,"distal","chr15",18230127,18231848,"distal",1.51712979956642e-08,"chr15:17435126-17441610_chr15:18230127-18231848","ee"
"2","chr15",17457775,17460493,"distal","chr15",18230127,18231848,"distal",1.05854274332629e-05,"chr15:17457775-17460493_chr15:18230127-18231848","ee"
"3","chr15",18465420,18523463,"distal","chr15",19167038,19170276,"distal",1.44545284047615e-05,"chr15:18465420-18523463_chr15:19167038-19170276","ee"
"4","chr15",18754402,18770002,"distal","chr15",19070204,19108832,"distal",6.80840846740693e-05,"chr15:18754402-18770002_chr15:19070204-19108832","ee"
"5","chr15",22491925,22497810,"distal","chr15",22836947,22842739,"promoter",0,"chr15:22491925-22497810_chr15:22836947-22842739","pe"
"6","chr15",22491925,22497810,"distal","chr15",23560790,23572771,"promoter",6.24251850211976e-09,"chr15:22491925-22497810_chr15:23560790-23572771","pe"
"7","chr15",22662607,22668409,"promoter","chr15",22783892,22796574,"distal",0,"chr15:22662607-22668409_chr15:22783892-22796574","pe"
"8","chr15",22662607,22668409,"promoter","chr15",22836947,22842739,"promoter",0,"chr15:22662607-22668409_chr15:22836947-22842739","pp"
"9","chr15",22783892,22796574,"distal","chr15",23560790,23572771,"promoter",0,"chr15:22783892-22796574_chr15:23560790-23572771","pe"
"10","chr15",22836947,22842739,"promoter","chr15",22977297,22982277,"distal",1.64090963039598e-13,"chr15:22836947-22842739_chr15:22977297-22982277","pe"
"11","chr15",22836947,22842739,"promoter","chr15",23560790,23572771,"promoter",0,"chr15:22836947-22842739_chr15:23560790-23572771","pp"
"12","chr15",23642154,23650027,"distal","chr15",23911557,23913597,"promoter",2.2489028417283e-09,"chr15:23642154-23650027_chr15:23911557-23913597","pe"
"13","chr15",23642154,23650027,"distal","chr15",25480347,25483822,"gene.body",2.00902957925297e-06,"chr15:23642154-23650027_chr15:25480347-25483822","others"
"14","chr15",24953757,24958824,"promoter","chr15",25669097,25672047,"distal",2.1262219429552e-08,"chr15:24953757-24958824_chr15:25669097-25672047","pe"
"15","chr15",25044024,25085981,"promoter","chr15",25859354,25865061,"promoter",1.59673358979262e-08,"chr15:25044024-25085981_chr15:25859354-25865061","pp"
"16","chr15",25415051,25417907,"gene.body","chr15",25682351,25686869,"promoter",0.000122608589079976,"chr15:25415051-25417907_chr15:25682351-25686869","pe"
"17","chr15",25419704,25423291,"promoter","chr15",25682351,25686869,"promoter",0.000125741429909842,"chr15:25419704-25423291_chr15:25682351-25686869","pp"
"18","chr15",25432124,25440977,"promoter","chr15",25669097,25672047,"distal",0.00016605223869337,"chr15:25432124-25440977_chr15:25669097-25672047","pe"
"19","chr15",27327581,27329908,"promoter","chr15",27587156,27590724,"distal",0.000121590488330825,"chr15:27327581-27329908_chr15:27587156-27590724","pe"
"20","chr15",33193344,33196391,"promoter","chr15",33199594,33203518,"distal",2.50644681676349e-07,"chr15:33193344-33196391_chr15:33199594-33203518","pe"
"21","chr15",33308887,33313094,"promoter","chr15",34098771,34104136,"promoter",1.0557393106847e-05,"chr15:33308887-33313094_chr15:34098771-34104136","pp"
"22","chr15",34037019,34040601,"promoter","chr15",34098771,34104136,"promoter",7.21473223164182e-07,"chr15:34037019-34040601_chr15:34098771-34104136","pp"
"23","chr15",34037019,34040601,"promoter","chr15",34206781,34211477,"promoter",0,"chr15:34037019-34040601_chr15:34206781-34211477","pp"
"24","chr15",34037019,34040601,"promoter","chr15",34222941,34227571,"promoter",0,"chr15:34037019-34040601_chr15:34222941-34227571","pp"
