chr.x	start.x	end.x	name	score	value	exp	color	sourceChrom	sourceStart	sourceEnd	sourceName	sourceStrand	targetChrom	targetStart	targetEnd	targetName	targetStrand
184974	chr15	17050582	17070200	Chaitali_1	3	3.003191349996	hAstro.specific	#1f78b4	chr15	17050582	17070200	anchor1	+	chr15	17075230	17086156	anchor2	+
184977	chr15	17435126	17441610	Chaitali_2	2	7.28560050531861	GB.specific	#e31a1c	chr15	17435126	17441610	anchor1	+	chr15	18230127	18231848	anchor2	+
184978	chr15	17457775	17460493	Chaitali_3	2	4.62365241360515	GB.specific	#e31a1c	chr15	17457775	17460493	anchor1	+	chr15	18230127	18231848	anchor2	+
184985	chr15	18465420	18523463	Chaitali_4	1	4.50330720803635	GB.specific	#e31a1c	chr15	18465420	18523463	anchor1	+	chr15	19167038	19170276	anchor2	+
184988	chr15	18754402	18770002	Chaitali_5	1	3.89767439636131	GB.specific	#e31a1c	chr15	18754402	18770002	anchor1	+	chr15	19070204	19108832	anchor2	+
184996	chr15	19794133	19797871	Chaitali_6	2	4.07090744910897	hAstro.specific	#1f78b4	chr15	19794133	19797871	anchor1	+	chr15	20183050	20208457	anchor2	+
184997	chr15	19853141	19861014	Chaitali_7	2	4.35040424824368	hAstro.specific	#1f78b4	chr15	19853141	19861014	anchor1	+	chr15	20406134	20423728	anchor2	+
184998	chr15	19931700	19938878	Chaitali_8	2	4.09759659366347	hAstro.specific	#1f78b4	chr15	19931700	19938878	anchor1	+	chr15	20319543	20359651	anchor2	+
184999	chr15	19971427	19974168	Chaitali_9	2	4.00312731914504	hAstro.specific	#1f78b4	chr15	19971427	19974168	anchor1	+	chr15	20319543	20359651	anchor2	+
185001	chr15	20027835	20074732	Chaitali_10	2	10.2812430540095	hAstro.specific	#1f78b4	chr15	20027835	20074732	anchor1	+	chr15	20183050	20208457	anchor2	+
185002	chr15	20027835	20074732	Chaitali_11	2	3.07967777391592	hAstro.specific	#1f78b4	chr15	20027835	20074732	anchor1	+	chr15	20210437	20226923	anchor2	+
185004	chr15	20027835	20074732	Chaitali_12	4	20	hAstro.specific	#1f78b4	chr15	20027835	20074732	anchor1	+	chr15	20319543	20359651	anchor2	+
185005	chr15	20027835	20074732	Chaitali_13	2	3.89189522506098	hAstro.specific	#1f78b4	chr15	20027835	20074732	anchor1	+	chr15	20370330	20377844	anchor2	+
185006	chr15	20027835	20074732	Chaitali_14	2	3.95970494907349	hAstro.specific	#1f78b4	chr15	20027835	20074732	anchor1	+	chr15	20397854	20401885	anchor2	+
185007	chr15	20027835	20074732	Chaitali_15	4	8.73301444095397	hAstro.specific	#1f78b4	chr15	20027835	20074732	anchor1	+	chr15	20406134	20423728	anchor2	+
185008	chr15	20027835	20074732	Chaitali_16	1	4.43460867176908	hAstro.specific	#1f78b4	chr15	20027835	20074732	anchor1	+	chr15	20655896	20660722	anchor2	+
185009	chr15	20027835	20074732	Chaitali_17	12	20	hAstro.specific	#1f78b4	chr15	20027835	20074732	anchor1	+	chr15	21037939	21054894	anchor2	+
185010	chr15	20027835	20074732	Chaitali_18	10	20	hAstro.specific	#1f78b4	chr15	20027835	20074732	anchor1	+	chr15	21056719	21081395	anchor2	+
185011	chr15	20085018	20093907	Chaitali_19	2	4.11024272653005	hAstro.specific	#1f78b4	chr15	20085018	20093907	anchor1	+	chr15	20210437	20226923	anchor2	+
185012	chr15	20097967	20109268	Chaitali_20	1	3.55521291557202	hAstro.specific	#1f78b4	chr15	20097967	20109268	anchor1	+	chr15	20319543	20359651	anchor2	+
185013	chr15	20109878	20129837	Chaitali_21	2	2.06739622259725	hAstro.specific	#1f78b4	chr15	20109878	20129837	anchor1	+	chr15	20210437	20226923	anchor2	+
185015	chr15	20109878	20129837	Chaitali_22	8	20	hAstro.specific	#1f78b4	chr15	20109878	20129837	anchor1	+	chr15	20319543	20359651	anchor2	+
185016	chr15	20109878	20129837	Chaitali_23	1	7.57274154392712	hAstro.specific	#1f78b4	chr15	20109878	20129837	anchor1	+	chr15	21117781	21126630	anchor2	+
185020	chr15	20183050	20208457	Chaitali_24	47	20	hAstro.specific	#1f78b4	chr15	20183050	20208457	anchor1	+	chr15	20210437	20226923	anchor2	+
185022	chr15	20183050	20208457	Chaitali_25	7	20	hAstro.specific	#1f78b4	chr15	20183050	20208457	anchor1	+	chr15	20319543	20359651	anchor2	+
185023	chr15	20183050	20208457	Chaitali_26	5	9.19622812984256	hAstro.specific	#1f78b4	chr15	20183050	20208457	anchor1	+	chr15	20370330	20377844	anchor2	+
185024	chr15	20183050	20208457	Chaitali_27	2	3.37038610899797	hAstro.specific	#1f78b4	chr15	20183050	20208457	anchor1	+	chr15	20397854	20401885	anchor2	+
185025	chr15	20183050	20208457	Chaitali_28	4	7.62499561966271	hAstro.specific	#1f78b4	chr15	20183050	20208457	anchor1	+	chr15	20406134	20423728	anchor2	+
185026	chr15	20183050	20208457	Chaitali_29	2	4.71597469494614	hAstro.specific	#1f78b4	chr15	20183050	20208457	anchor1	+	chr15	21056719	21081395	anchor2	+
185027	chr15	20183050	20208457	Chaitali_30	5	13.5257757847226	hAstro.specific	#1f78b4	chr15	20183050	20208457	anchor1	+	chr15	21188891	21193165	anchor2	+
185029	chr15	20210437	20226923	Chaitali_31	5	8.85642434480242	hAstro.specific	#1f78b4	chr15	20210437	20226923	anchor1	+	chr15	20319543	20359651	anchor2	+
185030	chr15	20210437	20226923	Chaitali_32	3	4.69571059233071	hAstro.specific	#1f78b4	chr15	20210437	20226923	anchor1	+	chr15	20370330	20377844	anchor2	+
185031	chr15	20210437	20226923	Chaitali_33	2	3.20030921585932	hAstro.specific	#1f78b4	chr15	20210437	20226923	anchor1	+	chr15	20397854	20401885	anchor2	+
185032	chr15	20210437	20226923	Chaitali_34	3	5.21871034081511	hAstro.specific	#1f78b4	chr15	20210437	20226923	anchor1	+	chr15	20406134	20423728	anchor2	+
185033	chr15	20210437	20226923	Chaitali_35	3	7.37278130167523	hAstro.specific	#1f78b4	chr15	20210437	20226923	anchor1	+	chr15	21056719	21081395	anchor2	+
185034	chr15	20227810	20230333	Chaitali_36	5	6.15630397311234	hAstro.specific	#1f78b4	chr15	20227810	20230333	anchor1	+	chr15	20319543	20359651	anchor2	+
185035	chr15	20227810	20230333	Chaitali_37	2	3.22971586674567	hAstro.specific	#1f78b4	chr15	20227810	20230333	anchor1	+	chr15	20406134	20423728	anchor2	+
185052	chr15	20319543	20359651	Chaitali_38	25	7.41998942501751	hAstro.specific	#1f78b4	chr15	20319543	20359651	anchor1	+	chr15	20370330	20377844	anchor2	+
185053	chr15	20319543	20359651	Chaitali_39	18	4.88270978599217	hAstro.specific	#1f78b4	chr15	20319543	20359651	anchor1	+	chr15	20406134	20423728	anchor2	+
185054	chr15	20319543	20359651	Chaitali_40	3	7.14718848034694	hAstro.specific	#1f78b4	chr15	20319543	20359651	anchor1	+	chr15	21037939	21054894	anchor2	+
185055	chr15	20319543	20359651	Chaitali_41	5	12.8888059225535	hAstro.specific	#1f78b4	chr15	20319543	20359651	anchor1	+	chr15	21056719	21081395	anchor2	+
185056	chr15	20319543	20359651	Chaitali_42	2	10.0947452388372	hAstro.specific	#1f78b4	chr15	20319543	20359651	anchor1	+	chr15	21117781	21126630	anchor2	+
185057	chr15	20319543	20359651	Chaitali_43	2	4.77626731107462	hAstro.specific	#1f78b4	chr15	20319543	20359651	anchor1	+	chr15	21281587	21286575	anchor2	+
185058	chr15	20319543	20359651	Chaitali_44	1	4.95092050836413	hAstro.specific	#1f78b4	chr15	20319543	20359651	anchor1	+	chr15	21530734	21539242	anchor2	+
