"","hAstro","U3028"
"chr15:100047761-100064820_chr15:100166768-100177483",1,0
"chr15:100047761-100064820_chr15:100327465-100347878",1,0
"chr15:100047761-100064820_chr15:100599116-100606695",1,0
"chr15:100111670-100120379_chr15:100599116-100606695",0,1
"chr15:100221330-100246394_chr15:100379020-100387966",1,0
"chr15:100327465-100347878_chr15:100348754-100351622",0,1
"chr15:100327465-100347878_chr15:100599116-100606695",0,1
"chr15:100327465-100347878_chr15:100898188-100907200",0,1
"chr15:100327465-100347878_chr15:101292364-101299094",0,1
"chr15:100348754-100351622_chr15:100580917-100592413",0,1
"chr15:100348754-100351622_chr15:100599116-100606695",1,1
"chr15:100348754-100351622_chr15:100874763-100882979",1,0
"chr15:100348754-100351622_chr15:101000427-101017397",0,1
"chr15:100348754-100351622_chr15:101241594-101254288",0,1
"chr15:100400480-100405546_chr15:100599116-100606695",0,1
"chr15:100580917-100592413_chr15:101000427-101017397",0,1
"chr15:100599116-100606695_chr15:100844060-100851642",1,0
"chr15:100599116-100606695_chr15:100898188-100907200",0,1
"chr15:100599116-100606695_chr15:100907873-100920974",1,1
"chr15:100599116-100606695_chr15:101000427-101017397",0,1
"chr15:100599116-100606695_chr15:101084370-101094201",0,1
"chr15:100599116-100606695_chr15:101098652-101133386",0,1
"chr15:100599116-100606695_chr15:101187128-101189919",0,1
"chr15:100599116-100606695_chr15:101197742-101203648",0,1
"chr15:100599116-100606695_chr15:101241594-101254288",1,1
"chr15:100599116-100606695_chr15:101275136-101281079",0,1
"chr15:100599116-100606695_chr15:101292364-101299094",0,1
"chr15:100599116-100606695_chr15:101608901-101621083",0,1
"chr15:100599116-100606695_chr15:101648802-101656417",0,1
"chr15:100874763-100882979_chr15:101000427-101017397",1,0
"chr15:100898188-100907200_chr15:101241594-101254288",0,1
"chr15:100898188-100907200_chr15:101275136-101281079",0,1
"chr15:100907873-100920974_chr15:101000427-101017397",1,1
"chr15:100907873-100920974_chr15:101648802-101656417",1,1
"chr15:100971244-100978384_chr15:101241594-101254288",1,0
"chr15:101000427-101017397_chr15:101241594-101254288",0,1
"chr15:101000427-101017397_chr15:101275136-101281079",0,1
"chr15:101000427-101017397_chr15:101292364-101299094",0,1
"chr15:101000427-101017397_chr15:101648802-101656417",0,1
"chr15:101084370-101094201_chr15:101098652-101133386",0,1
"chr15:101084370-101094201_chr15:101241594-101254288",0,1
"chr15:101084370-101094201_chr15:101292364-101299094",0,1
"chr15:101098652-101133386_chr15:101241594-101254288",0,1
"chr15:101098652-101133386_chr15:101275136-101281079",0,1
"chr15:101146573-101170788_chr15:101241594-101254288",1,0
"chr15:101187128-101189919_chr15:101197742-101203648",0,1
"chr15:101187128-101189919_chr15:101241594-101254288",0,1
"chr15:101197742-101203648_chr15:101241594-101254288",0,1
"chr15:101197742-101203648_chr15:101275136-101281079",0,1
"chr15:101220093-101224577_chr15:101241594-101254288",0,1
"chr15:101241594-101254288_chr15:101275136-101281079",1,1
"chr15:101241594-101254288_chr15:101292364-101299094",0,1
"chr15:101241594-101254288_chr15:101608901-101621083",0,1
"chr15:101241594-101254288_chr15:101648802-101656417",1,1
"chr15:101241594-101254288_chr15:101722364-101725660",0,1
"chr15:101241594-101254288_chr15:101751634-101768881",0,1
"chr15:101275136-101281079_chr15:101292364-101299094",1,1
"chr15:101275136-101281079_chr15:101595158-101600078",0,1
"chr15:101275136-101281079_chr15:101608901-101621083",0,1
"chr15:101275136-101281079_chr15:101648802-101656417",0,1
"chr15:101292364-101299094_chr15:101454934-101472180",1,0
"chr15:101292364-101299094_chr15:101487788-101499696",1,0
"chr15:101292364-101299094_chr15:101595158-101600078",0,1
"chr15:101292364-101299094_chr15:101608901-101621083",0,1
"chr15:101292364-101299094_chr15:101648802-101656417",1,1
"chr15:101292364-101299094_chr15:101722364-101725660",0,1
"chr15:101292364-101299094_chr15:101953134-101970476",0,1
"chr15:101307065-101336013_chr15:101648802-101656417",0,1
"chr15:101389337-101395268_chr15:101608901-101621083",0,1
"chr15:101648802-101656417_chr15:101722364-101725660",0,1
"chr15:17050582-17070200_chr15:17075230-17086156",1,0
"chr15:17435126-17441610_chr15:18230127-18231848",0,1
"chr15:17457775-17460493_chr15:18230127-18231848",0,1
"chr15:18465420-18523463_chr15:19167038-19170276",0,1
"chr15:18754402-18770002_chr15:19070204-19108832",0,1
"chr15:19794133-19797871_chr15:20183050-20208457",1,0
"chr15:19853141-19861014_chr15:20406134-20423728",1,0
"chr15:19931700-19938878_chr15:20319543-20359651",1,0
"chr15:19971427-19974168_chr15:20319543-20359651",1,0
"chr15:20027835-20074732_chr15:20183050-20208457",1,0
"chr15:20027835-20074732_chr15:20210437-20226923",1,0
"chr15:20027835-20074732_chr15:20319543-20359651",1,0
"chr15:20027835-20074732_chr15:20370330-20377844",1,0
"chr15:20027835-20074732_chr15:20397854-20401885",1,0
"chr15:20027835-20074732_chr15:20406134-20423728",1,0
"chr15:20027835-20074732_chr15:20655896-20660722",1,0
"chr15:20027835-20074732_chr15:21037939-21054894",1,0
"chr15:20027835-20074732_chr15:21056719-21081395",1,0
"chr15:20085018-20093907_chr15:20210437-20226923",1,0
"chr15:20097967-20109268_chr15:20319543-20359651",1,0
"chr15:20109878-20129837_chr15:20210437-20226923",1,0
"chr15:20109878-20129837_chr15:20319543-20359651",1,0
"chr15:20109878-20129837_chr15:21117781-21126630",1,0
"chr15:20183050-20208457_chr15:20210437-20226923",1,0
"chr15:20183050-20208457_chr15:20319543-20359651",1,0
"chr15:20183050-20208457_chr15:20370330-20377844",1,0
"chr15:20183050-20208457_chr15:20397854-20401885",1,0
"chr15:20183050-20208457_chr15:20406134-20423728",1,0
"chr15:20183050-20208457_chr15:21056719-21081395",1,0
"chr15:20183050-20208457_chr15:21188891-21193165",1,0
"chr15:20210437-20226923_chr15:20319543-20359651",1,0
"chr15:20210437-20226923_chr15:20370330-20377844",1,0
"chr15:20210437-20226923_chr15:20397854-20401885",1,0
